#{"t_start": 1709745596.1652262, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length
179.0,179,36.865024,0.0,0.0,0.0,1.7798507462686568,0.8464355837561522,0.7944444444444444,0.0,0.0,116408
179.0,179,103.625936,0.0,0.0,0.0,2.2276119402985075,0.7881424478620498,0.6406685236768802,0.06406685236768803,0.0,203194
179.0,179,189.283511,0.0,0.0,0.0,2.626865671641791,0.7313683541381772,0.5074349442379182,0.12453531598513011,0.0,276971
179.0,179,277.487794,0.0,0.0,0.0,2.9888059701492535,0.6824466021377936,0.4421199442119944,0.1101813110181311,0.022315202231520222,316188
179.0,179,373.67219,0.0,0.0,0.0,2.996268656716418,0.6787742874136914,0.3716517857142857,0.09263392857142858,0.025669642857142856,332278
179.0,179,468.871482,0.0,0.0,0.0,3.3507462686567164,0.6308568762970651,0.34232558139534885,0.06697674418604652,0.052093023255813956,380044
178.0,179,549.388437,0.00558659217877095,0.0007980845969672786,0.009060955518945634,4.115671641791045,0.5357260571118974,0.3224261771747805,0.05666400638467677,0.10614525139664804,451637
175.0,179,601.509035,0.0223463687150838,0.0034916201117318434,0.030402629416598194,4.018656716417911,0.5415865177587765,0.30602240896358546,0.04341736694677871,0.11274509803921569,475147
165.0,179,657.144477,0.0782122905027933,0.011793916821849782,0.10918544194107452,3.9813432835820897,0.5431638602145522,0.2962962962962963,0.032015065913371,0.10922787193973635,488318
177.0,179,720.462674,0.0111731843575419,0.011731843575418994,0.0047984644913627635,3.958955223880597,0.5431250149528674,0.28135593220338984,0.023728813559322035,0.11073446327683616,498163
172.0,179,775.906339,0.03910614525139665,0.014220416455053326,0.051647373107747106,3.970149253731343,0.5408943783070134,0.2698249227600412,0.01956745623069001,0.10092687950566426,511880
175.0,179,841.883703,0.0223463687150838,0.0148975791433892,0.03324348607367475,3.9776119402985075,0.5378311004907245,0.26547000472366555,0.014643363249881908,0.0930562116202173,538631
170.0,179,892.682373,0.05027932960893855,0.017619252256123763,0.07801418439716312,4.041044776119403,0.5309037980673825,0.2610406646261478,0.006558810668998688,0.0905115872321819,557445
176.0,179,945.972336,0.01675977653631285,0.017557861133280128,0.023809523809523808,3.8097014925373136,0.5505882536788819,0.24847746650426308,0.0028420625253755584,0.08607389362565976,553630
169.0,179,1027.63607,0.055865921787709494,0.02011173184357542,0.07206405693950178,3.9291044776119404,0.5322860426581346,0.24354103343465044,0.0,0.0885258358662614,574799
167.0,179,1089.980907,0.0670391061452514,0.023044692737430168,0.07871198568872988,3.9141791044776117,0.5279293491544613,0.24080028581636298,0.0,0.08395855662736691,594998
171.0,179,1155.700553,0.0446927374301676,0.024318107131120606,0.06206896551724138,4.003731343283582,0.5188348355089012,0.22996632996632996,-0.00202020202020202,0.08350168350168351,608551
174.0,179,1216.888086,0.027932960893854747,0.02451893234016139,0.0420017873100983,3.996268656716418,0.5177487947638215,0.21882951653944022,0.002544529262086514,0.07665394402035623,632585
171.0,179,1261.255452,0.0446927374301676,0.025580711555424875,0.0673076923076923,4.067164179104478,0.5057251475930992,0.20874811463046758,0.0027149321266968325,0.0784313725490196,636553
170.0,179,1310.453512,0.05027932960893855,0.026815642458100558,0.08007448789571694,3.9888059701492535,0.5144446570037049,0.20258249641319942,0.0028694404591104736,0.0746054519368723,631030
168.0,179,1363.392188,0.061452513966480445,0.028465017291832935,0.07648026315789473,3.955223880597015,0.5212691046889043,0.19901450862304954,0.0010949904188338351,0.07007938680536545,625588
176.0,179,1415.524172,0.01675977653631285,0.027932960893854747,0.01818181818181818,3.9291044776119404,0.5187951089299155,0.19456777226429878,0.0005223295899712719,0.06920867067119352,643595
174.0,179,1460.635288,0.027932960893854747,0.027932960893854747,0.04111986001749781,3.8992537313432836,0.5236653723711434,0.1871096677491881,-0.0002498126405196103,0.06620034973769673,644771
170.0,179,1510.160911,0.05027932960893855,0.028864059590316574,0.06802120141342756,4.029850746268656,0.5115548921038593,0.1806853582554517,-0.0011981787682722263,0.06326383896477354,648948
169.0,179,1558.705333,0.055865921787709494,0.02994413407821229,0.07030527289546716,3.9477611940298507,0.5216025600308017,0.17411331183786274,-0.003454629203132197,0.0589590050667895,648675
