#{"t_start": 1712745301.7629654, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level,average_path_index
206.0,206,24.113287,0.0,0.0,0.0,1.4888059701492538,0.8694111306434906,0.7342995169082126,0.0,0.0,1060.7961783439491,0,0,20.252309528860003,5.7560975609756095,2.229299363057325
206.0,206,41.952011,0.0,0.0,0.0,1.828358208955224,0.8171401250357921,0.6101694915254238,0.01937046004842615,0.0,1018.3358778625955,0,0,19.813422203678225,5.618705035971223,2.068702290076336
206.0,206,56.135375,0.0,0.0,0.0,2.138059701492537,0.7750539125440463,0.4604200323101777,0.09369951534733441,0.0,932.9826086956522,0,0,19.742989008650582,5.5476190476190474,1.7391304347826086
206.0,206,69.389518,0.0,0.0,0.0,2.3022388059701493,0.7509035802160641,0.35878787878787877,0.11151515151515151,0.0,967.0900900900901,0,0,19.336076103339416,5.455284552845528,1.882882882882883
206.0,206,81.824557,0.0,0.0,0.0,2.216417910447761,0.7559971246679065,0.3006789524733269,0.10863239573229874,0.0,996.7272727272727,0,0,19.725262143517202,5.491525423728813,1.981818181818182
206.0,206,93.628129,0.0,0.0,0.0,2.4029850746268657,0.7239256792926179,0.2635408245755861,0.1293451899757478,0.0,1130.8839285714287,0,0,18.624332938214064,5.257575757575758,2.1607142857142856
206.0,206,104.957014,0.0,0.0,0.0,2.4776119402985075,0.71290574554738,0.227997227997228,0.13444213444213443,0.0,1017.3675213675214,0,0,19.125472237974815,5.412213740458015,2.0427350427350426
206.0,206,114.535683,0.0,0.0,0.0,2.8022388059701493,0.6728552303214814,0.19648271679805943,0.12977562158884173,0.010309278350515464,1048.64,0,0,18.046092393141098,5.024590163934426,2.04
206.0,206,124.530675,0.0,0.0,0.0,2.6977611940298507,0.6814797599209493,0.18059299191374664,0.12237196765498652,0.011859838274932614,980.1454545454545,0,0,19.197061802162942,5.413223140495868,1.8454545454545455
206.0,206,133.17866,0.0,0.0,0.0,3.0522388059701493,0.6451411644375081,0.16593886462882096,0.11062590975254731,0.021348859776807377,1129.7254901960785,0,0,17.520513079697068,4.868852459016393,2.1470588235294117
206.0,206,141.585039,0.0,0.0,0.0,3.291044776119403,0.6180629193467039,0.1517423908248787,0.1027790030877812,0.0282311424790472,1024.4954954954956,0,0,18.098586894340297,4.976744186046512,1.8018018018018018
206.0,206,149.282651,0.0,0.0,0.0,3.388059701492537,0.6051771259271383,0.13829357056207037,0.09583501819652245,0.039223615042458554,1018.4910714285714,0,0,17.880393956426946,4.878787878787879,1.9196428571428572
206.0,206,156.311728,0.0,0.0,0.0,3.5970149253731343,0.5788734882251477,0.12877939529675253,0.09219858156028368,0.047779022023142964,1048.214953271028,0,0,17.43884706827652,4.773722627737226,2.0373831775700935
206.0,206,163.226246,0.0,0.0,0.0,3.529850746268657,0.5835279731216026,0.12755632582322357,0.08388214904679377,0.050606585788561524,960.6315789473684,0,0,18.832556630500086,5.2384615384615385,1.8508771929824561
