#{"t_start": 1723638295.4014049, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level,average_path_index,path_index,physical_paths
89.0,89,4.734877,0.0,0.0,0.0,1.3208955223880596,0.9226389083135705,0.6888888888888889,0.011111111111111112,0.0,1958.9285714285713,0,0,15.113099816298242,3.962962962962963,0.9880952380952381,83,83
89.0,89,9.680444,0.0,0.0,0.0,1.5634328358208955,0.8965982057528832,0.49162011173184356,0.00558659217877095,0.0,2194.285714285714,0,0,14.128286321849732,3.7,0.9857142857142858,69,69
89.0,89,13.448799,0.0,0.0,0.0,1.7649253731343284,0.8805655207670962,0.3656716417910448,0.011194029850746268,0.0,2082.8571428571427,0,0,14.603997883669438,3.8333333333333335,0.9857142857142858,69,69
89.0,89,17.182522,0.0,0.0,0.0,1.5970149253731343,0.8940929879444813,0.2605042016806723,0.0056022408963585435,0.0,1997.0149253731342,0,0,15.006465794706576,3.9479166666666665,0.9850746268656716,66,66
89.0,89,20.825258,0.0,0.0,0.0,1.414179104477612,0.9096081924730869,0.1681614349775785,0.004484304932735426,0.0,2227.1186440677966,0,0,13.886242573148667,3.5697674418604652,0.9830508474576272,58,58
