#{"t_start": 1708676726.0221367, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length
199.0,199,37.848834,0.0,0.0,0.0,1.492537313432836,0.870395356390236,2.56,0.0,0.0,149369
199.0,199,65.037101,0.0,0.0,0.0,1.8955223880597014,0.8115583818149961,2.2907268170426067,0.11278195488721804,0.0,258260
199.0,199,86.972888,0.0,0.0,0.0,2.041044776119403,0.7830820867366479,1.8227424749163879,0.3712374581939799,0.0,330591
199.0,199,106.760141,0.0,0.0,0.0,2.2238805970149254,0.7527613157538152,1.535759096612296,0.5508155583437893,0.0,381378
199.0,199,125.066419,0.0,0.0,0.0,2.283582089552239,0.7382632693248384,1.4176706827309238,0.6345381526104418,0.0,422906
199.0,199,141.472369,0.0,0.0,0.0,2.5597014925373136,0.6982830818044239,1.2853556485355648,0.7564853556485356,0.014225941422594143,481163
199.0,199,156.64973,0.0,0.0,0.0,2.7723880597014925,0.669979240722224,1.2195121951219512,0.7302725968436155,0.07962697274031563,538291
199.0,199,170.781285,0.0,0.0,0.0,3.0186567164179103,0.6377604911308532,1.1468926553672316,0.736346516007533,0.15756434400502198,577645
199.0,199,183.293339,0.0,0.0,0.0,3.208955223880597,0.6168188099786927,1.1032366071428572,0.7092633928571429,0.21149553571428573,593722
199.0,199,194.279196,0.0,0.0,0.0,3.5074626865671643,0.5782331786362677,1.0572576594676042,0.7036664992466097,0.2933199397287795,626742
199.0,199,204.45348,0.0,0.0,0.0,3.7574626865671643,0.5501489081818819,1.0132420091324201,0.7050228310502283,0.3452054794520548,659389
199.0,199,214.106086,0.0,0.0,0.0,3.876865671641791,0.5370980842792531,0.9970699037254082,0.6848053578903307,0.38802846379238176,691890
199.0,199,222.812397,0.0,0.0,0.0,3.791044776119403,0.5441386978270338,0.9632921174652241,0.6823802163833076,0.41112828438948995,692170
194.0,199,231.124471,0.02512562814070352,0.0017946877243359654,0.036028823058446756,3.832089552238806,0.5330566707097314,0.9327821710999281,0.6757728253055356,0.4475197699496765,722489
189.0,199,239.060086,0.05025125628140704,0.005025125628140704,0.07301587301587302,3.873134328358209,0.5216820406197019,0.9124873779872097,0.6650959272972063,0.4648266576910131,738858
189.0,199,246.946671,0.05025125628140704,0.007851758793969849,0.06661442006269593,3.9291044776119404,0.5183991509916872,0.9009493670886076,0.6503164556962026,0.479746835443038,729612
193.0,199,254.714726,0.03015075376884422,0.009163464380727165,0.05242566510172144,3.951492537313433,0.5206526388119714,0.8944229048613183,0.6534446764091858,0.4747986877423203,737140
194.0,199,262.340125,0.02512562814070352,0.010050251256281407,0.04674457429048414,3.832089552238806,0.5231766858207791,0.8748237947561319,0.6473075838736961,0.48660840146602763,746565
187.0,199,270.377138,0.06030150753768844,0.012695054218460724,0.07819548872180451,3.8358208955223883,0.5245428335757235,0.8631494376004285,0.649437600428495,0.49009105516871987,743066
192.0,199,277.964715,0.035175879396984924,0.013819095477386936,0.04966887417218543,3.716417910447761,0.5330427269004067,0.8517575140091697,0.6502801833927662,0.48395313295975545,737397
