#{"t_start": 1712745301.7461925, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level,average_path_index
206.0,206,5.071889,0.0,0.0,0.0,1.9328358208955223,0.8281825267617795,0.782608695652174,0.0,0.0,917.6496815286624,0,0,19.870105763738653,5.440677966101695,0.9936305732484076
206.0,206,9.581972,0.0,0.0,0.0,2.4925373134328357,0.759643411073754,0.5786924939467313,0.07506053268765134,0.0,900.5396825396825,0,0,19.58140024481304,5.373239436619718,0.9920634920634921
206.0,206,13.808752,0.0,0.0,0.0,2.917910447761194,0.7039078823961086,0.4345718901453958,0.12277867528271405,0.0,868.7142857142857,0,0,19.288209999236834,5.223076923076923,0.9910714285714286
206.0,206,17.933594,0.0,0.0,0.0,3.2425373134328357,0.6625346495830694,0.3478787878787879,0.11878787878787879,0.0048484848484848485,887.559633027523,0,0,18.725395010305103,5.1,0.9908256880733946
206.0,206,22.041109,0.0,0.0,0.0,3.66044776119403,0.6118682565062016,0.29000969932104753,0.10281280310378274,0.037827352085354024,935.1826086956522,0,0,17.935730467871828,4.764285714285714,0.991304347826087
206.0,206,26.038968,0.0,0.0,0.0,4.425373134328358,0.5230725598883499,0.25464834276475345,0.10024252223120453,0.08811641067097817,1002.3728813559322,0,0,15.866704442346142,4.158823529411765,0.9915254237288136
204.0,206,29.905123,0.009708737864077669,0.0013869625520110957,0.01276595744680851,4.503731343283582,0.5119164179876768,0.2248438584316447,0.0922970159611381,0.09923664122137404,944.8828828828829,0,0,17.137091838034387,4.493150684931507,1.054054054054054
198.0,206,33.815427,0.038834951456310676,0.006067961165048544,0.05054432348367029,4.604477611940299,0.5046507481355035,0.20134228187919462,0.08663819402074435,0.09884075655887736,924.6262626262626,0,0,17.680284573072345,4.736434108527132,1.2525252525252526
204.0,206,37.699047,0.009708737864077669,0.006472491909385114,0.018124507486209612,4.615671641791045,0.5016718243326437,0.18556701030927836,0.0792186652197504,0.09712425393380358,893.84,0,0,18.209933158227987,4.870967741935484,1.03
196.0,206,41.533186,0.04854368932038835,0.010679611650485437,0.0624,4.541044776119403,0.5030676490387138,0.17753800882785678,0.07454634624816087,0.09563511525257479,1034.0,0,0,18.04127328771713,4.905511811023622,1.4134615384615385
