#{"t_start": 1712587552.0476522, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level
204.0,204,5.169203,0.0,0.0,0.0,1.6492537313432836,0.8582292167035194,0.7268292682926829,0.0,0.0,981.5935483870968,0,0,20.33094849023713,5.746913580246914
204.0,204,9.918766,0.0,0.0,0.0,2.208955223880597,0.7908293119706816,0.6063569682151589,0.014669926650366748,0.0,972.4251968503937,0,0,19.991390030937406,5.637037037037037
204.0,204,14.545143,0.0,0.0,0.0,2.4328358208955225,0.7537346193513813,0.46818923327895595,0.06688417618270799,0.0,887.5826086956522,0,0,19.934316597611037,5.52
204.0,204,18.796113,0.0,0.0,0.0,2.638059701492537,0.7253912160967504,0.38310893512851896,0.07466340269277846,0.0,935.9910714285714,0,0,19.608485266744797,5.5
204.0,204,23.021412,0.0,0.0,0.0,2.8022388059701493,0.7033410723395664,0.32223310479921646,0.08031341821743389,0.0,963.348623853211,0,0,19.81116432436494,5.441666666666666
204.0,204,27.136508,0.0,0.0,0.0,3.1828358208955225,0.6538079795912296,0.28489795918367344,0.10040816326530612,0.004897959183673469,1034.5045045045044,0,0,18.445461681316278,5.120300751879699
204.0,204,31.494169,0.0,0.0,0.0,3.220149253731343,0.6500541969415704,0.24842547235829252,0.09727081875437368,0.009097270818754374,992.5909090909091,0,0,19.381600359434643,5.338582677165355
204.0,204,35.487082,0.0,0.0,0.0,3.4477611940298507,0.6249276138198986,0.22106552357624004,0.09491733006736068,0.01837109614206981,998.3529411764706,0,0,18.382547881002505,5.071428571428571
204.0,204,39.546129,0.0,0.0,0.0,3.3917910447761193,0.6213087488355817,0.20468154599891128,0.08111050626020685,0.021230266739248774,916.1538461538462,0,0,19.476733154560183,5.327586206896552
204.0,204,43.613664,0.0,0.0,0.0,3.623134328358209,0.5972055021655649,0.18618324350808427,0.07839294463498285,0.03184713375796178,1073.2095238095237,0,0,17.56552317168754,4.8203125
204.0,204,48.705604,0.0,0.0,0.0,3.8134328358208953,0.5798640793184039,0.1755011135857461,0.07216035634743875,0.0400890868596882,979.5090909090909,0,0,18.344372899296218,5.0
204.0,204,52.746277,0.0,0.0,0.0,3.906716417910448,0.5676652488444008,0.16047366271947733,0.06778276847692936,0.04124132298897509,983.9636363636364,0,0,18.534033857083234,5.040650406504065
204.0,204,56.887699,0.0,0.0,0.0,4.16044776119403,0.5340428003712501,0.1503957783641161,0.06671692423671316,0.04787033546928006,1020.6228070175439,0,0,17.612362858106557,4.75
204.0,204,60.736249,0.0,0.0,0.0,4.134328358208955,0.5309366605885962,0.14210710535526777,0.06230311515575779,0.049702485124256214,905.5769230769231,0,0,18.832389620941516,5.146341463414634
204.0,204,64.556987,0.0,0.0,0.0,4.447761194029851,0.5050551407155439,0.1319830120875531,0.057170859196341066,0.05292388108461287,1035.188679245283,0,0,17.84241139218842,4.850746268656716
204.0,204,68.715859,0.0,0.0,0.0,4.369402985074627,0.5095233595061747,0.12526799387442572,0.05666156202143951,0.05359877488514548,928.7029702970297,0,0,18.768764518707954,5.15
204.0,204,72.764292,0.0,0.0,0.0,4.5,0.4956069443092406,0.12251369270683193,0.05217641971749784,0.05938310752378207,928.302752293578,0,0,17.865714528593845,4.849624060150376
204.0,204,76.8912,0.0,0.0,0.0,4.373134328358209,0.5107460691693081,0.11815954260822216,0.04955077593248026,0.05826300027225701,925.6636363636363,0,0,18.953721624182,5.254098360655738
204.0,204,80.89856,0.0,0.0,0.0,4.41044776119403,0.5083822693362586,0.11142636058808357,0.04513799329378385,0.052875935001289655,1014.8938053097345,0,0,18.390669556054124,5.014925373134329
204.0,204,84.915288,0.0,0.0,0.0,4.481343283582089,0.49274574981677155,0.10757167360940946,0.04557706444498898,0.05660377358490566,1020.6296296296297,0,0,17.830507047561273,4.850746268656716
198.0,204,88.845097,0.029411764705882353,0.0014005602240896359,0.034482758620689655,4.5,0.49331230498497014,0.0986211731713017,0.042299602710913764,0.051180182285580744,1008.2631578947369,0,0,18.109948246968802,4.904347826086957
204.0,204,92.961225,0.0,0.001336898395721925,0.0,4.458955223880597,0.5045004405388572,0.0932411331697524,0.03903635958063797,0.04862815079188044,982.5263157894736,0,0,18.548482353249568,5.053846153846154
204.0,204,96.952704,0.0,0.0012787723785166241,0.0,4.567164179104478,0.49487112894568697,0.08832942180499254,0.03669724770642202,0.050565393641988476,1150.9304347826087,0,0,17.548385058946508,4.86013986013986
204.0,204,100.80482,0.0,0.0012254901960784314,0.0,4.481343283582089,0.5024115549016399,0.08525863831527294,0.03618891842159068,0.04804743406256389,1071.311320754717,0,0,17.923613977384736,4.89922480620155
204.0,204,104.630754,0.0,0.001176470588235294,0.0,4.518656716417911,0.49849103908464576,0.08243375858684986,0.03709519136408243,0.04553483807654563,881.8141592920354,0,0,18.430503130598282,5.030534351145038
204.0,204,108.471924,0.0,0.0011312217194570137,0.0,4.481343283582089,0.5037201915537639,0.07926023778071334,0.036988110964332896,0.04548027929798075,926.8888888888889,0,0,18.78948611441009,5.161290322580645
204.0,204,112.355241,0.0,0.0010893246187363835,0.0,4.2611940298507465,0.5318333131432308,0.07541341086679992,0.03161911684535708,0.045611484644739235,890.1376146788991,0,0,18.78938036105099,5.129770992366412
