#{"t_start": 1708634618.0327516, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length
199.0,199,8.681334,0.0,0.0,0.0,1.6455223880597014,0.8588821069456323,2.3,0.0,0.0,139347
199.0,199,16.417952,0.0,0.0,0.0,2.212686567164179,0.7888654681547463,2.0676691729323307,0.08771929824561403,0.0,238143
199.0,199,23.720075,0.0,0.0,0.0,2.451492537313433,0.7498915922373198,1.6872909698996656,0.3076923076923077,0.0,307753
199.0,199,30.908179,0.0,0.0,0.0,2.791044776119403,0.707972346195481,1.4629861982434127,0.4504391468005019,0.0,350065
199.0,199,38.052739,0.0,0.0,0.0,2.9291044776119404,0.6887429206679762,1.3463855421686748,0.5060240963855421,0.0,382884
199.0,199,45.223751,0.0,0.0,0.0,3.3097014925373136,0.6388268613945686,1.2518828451882844,0.5723849372384937,0.06276150627615062,448167
199.0,199,52.310448,0.0,0.0,0.0,3.4291044776119404,0.6218087722516921,1.1807747489239597,0.6018651362984218,0.09540889526542325,498438
199.0,199,59.131641,0.0,0.0,0.0,3.7425373134328357,0.5830648482879532,1.1211550533584431,0.6038920276208412,0.17263025737602009,522806
199.0,199,65.855611,0.0,0.0,0.0,3.798507462686567,0.5698998839752438,1.0703125,0.5993303571428571,0.18805803571428573,544431
199.0,199,72.522173,0.0,0.0,0.0,4.227611940298507,0.5244394158467871,1.035158211953792,0.5831240582621798,0.26167754897036666,567024
199.0,199,79.273478,0.0,0.0,0.0,4.358208955223881,0.5037620348138946,1.006392694063927,0.6050228310502284,0.2831050228310502,600793
199.0,199,85.956508,0.0,0.0,0.0,4.645522388059701,0.4715625730725376,0.9937212222687317,0.5910422771033905,0.3172875680200921,612807
199.0,199,92.507935,0.0,0.0,0.0,4.496268656716418,0.4794313273734861,0.9683153013910355,0.5846213292117465,0.3373261205564142,627008
191.0,199,99.031328,0.04020100502512563,0.002871500358937545,0.0600480384307446,4.503731343283582,0.47822488193745144,0.9395465994962217,0.5887009715725081,0.3540842029507017,657946
192.0,199,105.507055,0.035175879396984924,0.005025125628140704,0.0373015873015873,4.514925373134329,0.46724334771775905,0.9249410972736453,0.580276001346348,0.3715920565466173,669248
190.0,199,112.095123,0.04522613065326633,0.007537688442211055,0.06504702194357367,4.585820895522388,0.4680794547632775,0.9174311926605505,0.57291996203733,0.384055678582727,664131
