
#{"t_start": 1712745301.8001044, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level,average_path_index
206.0,206,5.280299,0.0,0.0,0.0,1.958955223880597,0.8253675695631789,0.7971014492753623,0.0,0.0,917.6496815286624,0,0,19.863426160069732,5.438202247191011,0.9936305732484076
206.0,206,9.794599,0.0,0.0,0.0,2.574626865671642,0.7500216585767125,0.5665859564164649,0.09927360774818401,0.0,902.384,0,0,19.518471242681667,5.352112676056338,0.992
206.0,206,14.166131,0.0,0.0,0.0,3.037313432835821,0.6876280046071779,0.43618739903069464,0.15347334410339256,0.0,867.2368421052631,0,0,19.00848003519597,5.149253731343284,0.9912280701754386
206.0,206,18.329445,0.0,0.0,0.0,3.503731343283582,0.6310017466526763,0.3490909090909091,0.1296969696969697,0.03636363636363636,923.3035714285714,0,0,17.689917493337827,4.73758865248227,0.9910714285714286
206.0,206,22.495067,0.0,0.0,0.0,3.6865671641791047,0.607786800453969,0.29582929194956353,0.11445198836081474,0.06013579049466537,905.0467289719626,0,0,18.266163106930296,4.875,0.9906542056074766
205.0,206,26.507792,0.0048543689320388345,0.0008090614886731392,0.005098324836125273,4.537313432835821,0.5016447201965638,0.2645631067961165,0.1156957928802589,0.1076051779935275,995.1951219512196,0,0,15.431240968319518,3.92896174863388,1.024390243902439
198.0,206,30.39016,0.038834951456310676,0.0062413314840499305,0.04113475177304964,4.574626865671642,0.49899968744471473,0.23709902370990238,0.10529986052998605,0.10739191073919108,879.0943396226415,0,0,18.40424391689757,4.916030534351145,1.2641509433962264
198.0,206,34.278684,0.038834951456310676,0.010315533980582525,0.0552099533437014,4.634328358208955,0.49154905750385963,0.22365196078431374,0.09436274509803921,0.1053921568627451,995.2038834951456,0,0,17.448696565956396,4.644444444444445,1.4660194174757282
202.0,206,38.079565,0.019417475728155338,0.011326860841423949,0.022852639873916468,4.645522388059701,0.492842844026755,0.20338058887677207,0.08396946564885496,0.10687022900763359,904.27,0,0,17.73763988057651,4.653225806451613,1.15
195.0,206,41.896705,0.05339805825242718,0.015533980582524271,0.0672,4.638059701492537,0.48730570718131117,0.19270576638738296,0.07984228684080828,0.10251355347461803,948.0784313725491,0,0,18.17214443001679,4.933884297520661,1.2156862745098038
202.0,206,45.829412,0.019417475728155338,0.01588702559576346,0.03049257232212666,4.522388059701493,0.49169596942365784,0.184670551322277,0.07261317794710892,0.09861048857014791,851.7889908256881,0,0,18.05923594556573,4.821705426356589,1.1192660550458715
198.0,206,49.865618,0.038834951456310676,0.01779935275080906,0.03918613413715147,4.5783582089552235,0.48813399957693837,0.17249897076986415,0.06628242074927954,0.09674763277068753,907.7685185185185,0,0,17.68133981786397,4.686567164179104,1.1111111111111112
