#{"t_start": 1712595707.0560296, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level
204.0,204,5.081271,0.0,0.0,0.0,1.9402985074626866,0.8276023145002008,0.7902439024390244,0.0,0.0,913.9423076923077,0,0,19.888490081946998,5.445714285714286
204.0,204,9.574834,0.0,0.0,0.0,2.4776119402985075,0.7631318099246636,0.5696821515892421,0.08068459657701711,0.0,907.8130081300814,0,0,19.555572743351078,5.366906474820144
204.0,204,13.744693,0.0,0.0,0.0,2.966417910447761,0.6951213307411939,0.44208809135399674,0.13866231647634583,0.0,865.7699115044247,0,0,19.046862445622104,5.156716417910448
204.0,204,17.851698,0.0,0.0,0.0,3.388059701492537,0.6418784634953593,0.3537331701346389,0.12239902080783353,0.028151774785801713,911.9642857142857,0,0,18.020083566644093,4.856115107913669
204.0,204,21.892458,0.0,0.0,0.0,3.611940298507463,0.6157238029597364,0.2948090107737512,0.11165523996082272,0.043095004897159644,931.6571428571428,0,0,18.572345959440014,5.0
204.0,204,25.962691,0.0,0.0,0.0,4.291044776119403,0.5327189857511674,0.26040816326530614,0.1110204081632653,0.08979591836734693,995.7672413793103,0,0,15.975380215182962,4.196319018404908
202.0,204,30.152975,0.00980392156862745,0.0014005602240896359,0.012756909992912827,4.5335820895522385,0.5012590826236414,0.2312543798177996,0.09460406447091801,0.1051156271899089,915.4363636363636,0,0,16.83982260578185,4.406666666666666
196.0,204,33.969452,0.0392156862745098,0.006127450980392157,0.060653188180404355,4.597014925373134,0.4989033440549374,0.21873074553296365,0.09365372766481823,0.10474430067775724,977.0961538461538,0,0,17.447531246681176,4.598540145985401
202.0,204,37.777478,0.00980392156862745,0.006535947712418301,0.012976480129764802,4.544776119402985,0.49850559175875986,0.19945205479452055,0.08164383561643836,0.1052054794520548,889.2710280373832,0,0,17.939635137348077,4.736434108527132
190.0,204,41.771267,0.06862745098039216,0.012745098039215686,0.0851063829787234,4.574626865671642,0.4953593559132634,0.18411910669975187,0.07593052109181142,0.1032258064516129,971.6774193548387,0,0,18.05917234232155,4.890909090909091
197.0,204,45.754895,0.03431372549019608,0.014705882352941176,0.04380664652567976,4.608208955223881,0.4921513011444798,0.17721518987341772,0.06826401446654612,0.09855334538878843,916.7837837837837,0,0,18.233946075254316,4.892307692307693
199.0,204,49.812707,0.024509803921568627,0.015522875816993464,0.030421216848673948,4.5559701492537314,0.4952394960533014,0.16632102861883036,0.06428867689755288,0.09456656988801328,901.8130841121496,0,0,18.836091976276617,5.073170731707317
197.0,204,53.620977,0.03431372549019608,0.016968325791855202,0.04820198928844682,4.451492537313433,0.49640418158097754,0.15912576687116564,0.061733128834355826,0.09317484662576687,908.847619047619,0,0,18.341028485288284,4.9375
197.0,204,57.41414,0.03431372549019608,0.018207282913165267,0.0426731078904992,4.582089552238806,0.4837675228518392,0.14937611408199644,0.06167557932263815,0.09090909090909091,818.0714285714286,0,0,18.54575860667085,4.983739837398374
195.0,204,61.394444,0.04411764705882353,0.019934640522875816,0.060765191297824456,4.608208955223881,0.4832813001467031,0.13766666666666666,0.058,0.09166666666666666,947.3867924528302,0,0,17.731565989532136,4.734848484848484
