#{"t_start": 1708523810.9785397, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length
199.0,199,31.461049,0.0,0.0,0.0,1.3880597014925373,0.8780480271842107,2.44,0.0,0.0,145969
199.0,199,54.711557,0.0,0.0,0.0,1.787313432835821,0.8190708489404616,2.238095238095238,0.02506265664160401,0.0,245658
199.0,199,73.860571,0.0,0.0,0.0,1.8955223880597014,0.7956029864867167,1.8779264214046822,0.21237458193979933,0.0,310425
199.0,199,91.881814,0.0,0.0,0.0,2.074626865671642,0.7683288091182089,1.6210790464240903,0.3575909661229611,0.0,347143
199.0,199,108.520404,0.0,0.0,0.0,2.138059701492537,0.7490467432621938,1.466867469879518,0.46686746987951805,0.0,381620
199.0,199,124.490049,0.0,0.0,0.0,2.3843283582089554,0.7134013925745603,1.3732217573221757,0.5748953974895398,0.0,443336
199.0,199,139.261771,0.0,0.0,0.0,2.6082089552238807,0.6913856835687788,1.2790530846484935,0.6599713055954088,0.0,474676
199.0,199,153.252482,0.0,0.0,0.0,2.6902985074626864,0.6756353816026333,1.229127432517263,0.677338355304457,0.017576898932831136,509956
199.0,199,166.096442,0.0,0.0,0.0,2.6529850746268657,0.676266075785976,1.1841517857142858,0.6640625,0.029575892857142856,507255
199.0,199,178.540914,0.0,0.0,0.0,3.0634328358208953,0.6322460921138907,1.148166750376695,0.6529382219989954,0.08940231039678553,532502
199.0,199,190.605699,0.0,0.0,0.0,3.208955223880597,0.610451781918825,1.121917808219178,0.6593607305936073,0.12511415525114156,546486
199.0,199,202.213175,0.0,0.0,0.0,3.2313432835820897,0.6103159943497151,1.099623273336124,0.6483884470489745,0.15110925073252407,549750
199.0,199,213.487755,0.0,0.0,0.0,3.2723880597014925,0.6004473286473676,1.0788253477588872,0.6406491499227203,0.1777434312210201,575746
199.0,199,224.674296,0.0,0.0,0.0,3.470149253731343,0.5796472027643742,1.0577682095443128,0.6569788302834589,0.19806243272335844,592967
199.0,199,234.849251,0.0,0.0,0.0,3.5708955223880596,0.564585369177976,1.0381781647689217,0.6600803750837241,0.21935699933020764,615879
199.0,199,244.450806,0.0,0.0,0.0,3.746268656716418,0.5515387088455506,1.0282574568288854,0.6511773940345369,0.2370486656200942,619323
199.0,199,253.851325,0.0,0.0,0.0,3.675373134328358,0.5606501182653068,1.0130023640661938,0.6433215130023641,0.23729314420803782,612713
199.0,199,263.431629,0.0,0.0,0.0,3.705223880597015,0.5530714362681882,0.9969299469718114,0.6408037957019258,0.24030142338822216,611358
199.0,199,273.941999,0.0,0.0,0.0,3.667910447761194,0.5623898106028682,0.9918032786885246,0.6451612903225806,0.25251189846641986,607472
199.0,199,283.903499,0.0,0.0,0.0,3.529850746268657,0.574376560783263,0.9814117056016076,0.6513438834463703,0.24817884953529265,594600
