#{"t_start": 1711639631.40178, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,avrage_gsnr,average_mod_level
2.0,2,1.080331,0.0,0.0,0.0,1.007462686567164,0.9435821714013151,0.6666666666666666,0.0,0.0,421.3333333333333,15.165903956312993,4.0
2.0,2,1.987304,0.0,0.0,0.0,1.041044776119403,0.9399892638957168,1.0,0.0,0.0,1328.3333333333333,13.973883343989677,4.0
2.0,2,2.704479,0.0,0.0,0.0,1.0559701492537314,0.9384056399310501,1.0,0.0,0.0,634.3333333333334,14.203563162328573,4.0
2.0,2,3.1769,0.0,0.0,0.0,1.0597014925373134,0.9373294240626429,1.0,0.0,0.0,1026.0,13.175464696603678,4.0
2.0,2,3.564647,0.0,0.0,0.0,1.0671641791044777,0.9366002164811241,1.0,0.0,0.0,698.6666666666666,12.916012859797958,4.0
2.0,2,3.918985,0.0,0.0,0.0,1.078358208955224,0.9353247748374932,1.0,0.0,0.0,773.6666666666666,14.168226015025018,4.0
2.0,2,4.259496,0.0,0.0,0.0,1.0932835820895523,0.9336480682317659,1.0,0.0,0.0,679.3333333333334,12.960595384542648,4.0
2.0,2,4.591112,0.0,0.0,0.0,1.085820895522388,0.9339016760738692,1.0,0.0,0.0,502.6666666666667,15.699599975726636,4.0
2.0,2,4.901421,0.0,0.0,0.0,1.0820895522388059,0.9335813992833798,1.0,0.0,0.0,319.3333333333333,14.857406476916404,4.0
2.0,2,5.078751,0.0,0.0,0.0,1.0895522388059702,0.9327884164858684,0.9523809523809523,0.0,0.0,450.0,10.290607374720517,3.0
