#{"t_start": 1712665390.5043647, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level
204.0,204,18.714651,0.0,0.0,0.0,1.3917910447761195,0.8775242506127066,0.7317073170731707,0.0,0.0,1027.4645161290323,0,0,20.33795071192851,5.753086419753086
204.0,204,32.820313,0.0,0.0,0.0,1.7350746268656716,0.821472493748473,0.628361858190709,0.004889975550122249,0.0,1023.1023622047244,0,0,19.971160554376656,5.634328358208955
204.0,204,44.808884,0.0,0.0,0.0,1.8619402985074627,0.792830461756514,0.5073409461663948,0.05546492659053834,0.0,922.0603448275862,0,0,19.917431710236432,5.5396825396825395
204.0,204,55.723232,0.0,0.0,0.0,2.1194029850746268,0.7577580666308561,0.3990208078335373,0.09547123623011015,0.0,993.8672566371681,0,0,19.39192266747173,5.412698412698413
204.0,204,65.4841,0.0,0.0,0.0,2.16044776119403,0.7378918339765111,0.3379040156709109,0.09598432908912831,0.0,980.0096153846154,0,0,19.75724784486403,5.431034482758621
204.0,204,74.881279,0.0,0.0,0.0,2.533582089552239,0.6838894196691315,0.2873469387755102,0.1346938775510204,0.0032653061224489797,1078.122807017544,0,0,18.236274793778623,5.072463768115942
204.0,204,83.502316,0.0,0.0,0.0,2.623134328358209,0.6696980677042452,0.2568229531140658,0.13156053184044786,0.008397480755773267,1002.290909090909,0,0,18.966649409715625,5.2015503875969
204.0,204,90.94031,0.0,0.0,0.0,3.0074626865671643,0.6356932006792104,0.2271892222902633,0.12063686466625842,0.026331904470300063,1035.8446601941748,0,0,17.614369417698626,4.8076923076923075
204.0,204,98.256568,0.0,0.0,0.0,3.0186567164179103,0.6225752517510637,0.2144801306477953,0.10615133369624388,0.032117583015786606,938.4636363636364,0,0,18.86526259998813,5.165354330708661
204.0,204,104.551588,0.0,0.0,0.0,3.220149253731343,0.6017194810166764,0.19353258206761392,0.0984811366976972,0.040666340029397355,1065.9263157894736,0,0,17.566198849711796,4.857142857142857
204.0,204,111.46553,0.0,0.0,0.0,3.246268656716418,0.5907167749000852,0.1821826280623608,0.09042316258351893,0.048106904231625836,1024.7478260869566,0,0,18.32346252521269,5.044444444444444
