#{"t_start": 1712312362.7210371, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,avrage_gsnr,average_mod_level
2.0,2,38.427147,0.0,0.0,0.0,1.0111940298507462,0.9430193928358634,0.6666666666666666,0.0,0.0,361.0,14.43678024660074,4.0
2.0,2,38.674368,0.0,0.0,0.0,1.0522388059701493,0.9381584548984411,1.0,0.0,0.0,1299.3333333333333,13.8067648686118,4.0
2.0,2,38.895251,0.0,0.0,0.0,1.0746268656716418,0.9352604444683225,1.1428571428571428,0.0,0.0,600.0,15.21510427807928,4.0
2.0,2,39.107938,0.0,0.0,0.0,1.1119402985074627,0.9312456369431059,1.2222222222222223,0.0,0.0,851.0,14.584843559511858,4.0
2.0,2,39.327571,0.0,0.0,0.0,1.1305970149253732,0.9294544788952618,1.1818181818181819,0.0,0.0,682.6666666666666,12.91511499608223,4.0
2.0,2,39.535745,0.0,0.0,0.0,1.1455223880597014,0.9278961089244839,1.1538461538461537,0.0,0.0,687.0,13.784340397007389,3.6666666666666665
2.0,2,39.741453,0.0,0.0,0.0,1.1679104477611941,0.9248150980161317,1.1333333333333333,0.0,0.0,614.3333333333334,12.893102901683838,3.6666666666666665
2.0,2,39.957997,0.0,0.0,0.0,1.171641791044776,0.9245404199176868,1.1176470588235294,0.0,0.0,414.3333333333333,14.514560068398572,3.6666666666666665
2.0,2,40.159697,0.0,0.0,0.0,1.1753731343283582,0.924346418431674,1.105263157894737,0.0,0.0,269.0,14.752073944080232,4.0
2.0,2,40.314752,0.0,0.0,0.0,1.1828358208955223,0.9235534356341627,1.0476190476190477,0.0,0.0,450.0,10.227704408767732,3.0
