#{"t_start": 1724261382.5746002, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level,average_path_index,path_index,physical_paths
199.0,199,20.860052,0.0,0.0,0.0,2.33955223880597,0.9049931519463467,0.93,0.0,0.0,467.7578947368421,194,19,23.85977022746581,5.968421052631579,0.9947368421052631,189,189
199.0,199,51.189107,0.0,0.0,0.0,3.3656716417910446,0.8479988480239401,0.8370927318295739,0.005012531328320802,0.0,484.2514619883041,209,19,23.69042143087481,5.964912280701754,0.9941520467836257,170,170
199.0,199,85.26428,0.0,0.0,0.0,4.0335820895522385,0.8115897663103412,0.7642140468227425,0.038461538461538464,0.0,428.45238095238096,220,20,24.08495052054017,5.964285714285714,0.9940476190476191,167,167
199.0,199,123.003138,0.0,0.0,0.0,4.656716417910448,0.7840716434053085,0.7013801756587202,0.04893350062735257,0.0,444.12418300653593,220,20,23.937119810872147,5.96078431372549,0.9934640522875817,152,152
199.0,199,159.995369,0.0,0.0,0.0,5.264925373134329,0.7549041030447087,0.6485943775100401,0.04618473895582329,0.0,433.1857142857143,220,20,23.95271104494552,5.957142857142857,0.9928571428571429,139,139
199.0,199,196.017154,0.0,0.0,0.0,5.936567164179104,0.7157508225286653,0.606694560669456,0.0502092050209205,0.005857740585774059,484.8321167883212,220,20,23.31892336686161,5.956204379562044,0.9927007299270073,136,136
199.0,199,236.860314,0.0,0.0,0.0,6.529850746268656,0.6885214571658894,0.5774748923959828,0.03730272596843615,0.021520803443328552,460.88235294117646,220,20,23.431753544046114,5.955882352941177,0.9926470588235294,135,135
199.0,199,275.548113,0.0,0.0,0.0,6.869402985074627,0.673400042890259,0.5480225988700564,0.022598870056497175,0.03389830508474576,467.0833333333333,220,20,23.26158615169219,5.95,1.0333333333333334,124,119
199.0,199,315.643859,0.0,0.0,0.0,6.92910447761194,0.6731893262591448,0.5251116071428571,0.012276785714285714,0.03794642857142857,417.9380530973451,220,20,23.935835376222236,5.946902654867257,1.0530973451327434,119,112
199.0,199,349.092579,0.0,0.0,0.0,7.149253731343284,0.6623601162649645,0.508789552988448,0.0035158211953792064,0.04118533400301356,478.5378151260504,220,20,23.497173720264986,5.949579831932773,1.0168067226890756,121,118
199.0,199,384.426754,0.0,0.0,0.0,7.481343283582089,0.6396131468753288,0.4821917808219178,-0.0027397260273972603,0.043835616438356165,434.13513513513516,209,19,23.63270396353438,5.918918918918919,1.0360360360360361,115,110
199.0,199,421.110854,0.0,0.0,0.0,7.6716417910447765,0.6353479103509622,0.46211804102134785,-0.009208874005860193,0.04855588112180829,436.6698113207547,209,19,23.645807085027176,5.915094339622642,1.0188679245283019,108,105
199.0,199,458.959348,0.0,0.0,0.0,7.9216417910447765,0.6168407855927356,0.44474497681607417,-0.015069551777434312,0.05409582689335394,434.2,220,20,23.33287365533742,5.850467289719626,1.0571428571428572,111,104
199.0,199,494.391456,0.0,0.0,0.0,8.313432835820896,0.5990029232541927,0.4334409759598134,-0.022246142805884463,0.0599210620739146,503.27358490566036,220,20,22.773849485205318,5.844036697247707,1.028301886792453,109,105
199.0,199,525.604428,0.0,0.0,0.0,8.582089552238806,0.5836410099345102,0.4229738780977897,-0.025452109845947757,0.0666443402545211,432.787037037037,220,20,23.458890682504045,5.837837837837838,1.0,108,107
199.0,199,563.911741,0.0,0.0,0.0,8.757462686567164,0.5726004063756692,0.4182103610675039,-0.029827315541601257,0.07221350078492936,396.70175438596493,220,20,23.612459885373102,5.888888888888889,1.043859649122807,119,113
199.0,199,590.089556,0.0,0.0,0.0,9.0,0.5633367471378445,0.4092789598108747,-0.03280141843971631,0.0768321513002364,426.2181818181818,220,20,23.47000510020371,5.882882882882883,1.0727272727272728,118,109
198.0,199,611.944623,0.005025125628140704,0.00027917364600781687,0.005008347245409015,9.063432835820896,0.5575193346853754,0.39977666108319376,-0.03796761585706309,0.07900614182021218,451.75,220,20,23.194245097916916,5.846938775510204,1.0520833333333333,101,95
