#{"t_start": 1708511482.6710875, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length
199.0,199,5.449461,0.0,0.0,0.0,1.9291044776119404,0.8291054558589149,2.345,0.0,0.0,130990
199.0,199,10.887423,0.0,0.0,0.0,2.514925373134328,0.7587462963128337,1.7694235588972431,0.3358395989974937,0.0,219100
199.0,199,16.406045,0.0,0.0,0.0,2.9477611940298507,0.6982435734185973,1.411371237458194,0.5234113712374582,0.0,274538
199.0,199,22.027222,0.0,0.0,0.0,3.2761194029850746,0.6537017537463233,1.2672521957340026,0.5746549560853199,0.06524466750313676,312009
199.0,199,27.585092,0.0,0.0,0.0,3.496268656716418,0.6303792939875341,1.1475903614457832,0.5742971887550201,0.1214859437751004,340118
199.0,199,33.100473,0.0,0.0,0.0,4.220149253731344,0.5410115780936237,1.087029288702929,0.5489539748953974,0.2895397489539749,403271
197.0,199,38.710949,0.010050251256281407,0.0014357501794687725,0.012686567164179104,4.57089552238806,0.4992176818796194,1.0545977011494252,0.5265804597701149,0.3994252873563218,433504
192.0,199,44.403405,0.035175879396984924,0.005653266331658292,0.05007587253414264,4.593283582089552,0.4957420765079712,1.0265151515151516,0.5422979797979798,0.42676767676767674,461965
197.0,199,49.94334,0.010050251256281407,0.006141820212171971,0.014629948364888123,4.376865671641791,0.5181697690699522,1.0011229646266142,0.5221785513756316,0.43627175743964064,455523
191.0,199,55.654877,0.04020100502512563,0.009547738693467337,0.05121951219512195,4.518656716417911,0.5004407740672269,0.9766734279918864,0.5192697768762677,0.43864097363083165,479976
191.0,199,61.515643,0.04020100502512563,0.012334399269072635,0.05138339920948617,4.5559701492537314,0.498935209614776,0.9644012944983819,0.5127138233934351,0.454461396208969,484819
189.0,199,67.145,0.05025125628140704,0.015494137353433836,0.05461847389558233,4.402985074626866,0.5066772574439974,0.9481292517006803,0.5008503401360545,0.47406462585034015,498635
196.0,199,72.718561,0.01507537688442211,0.015461925009663703,0.018444266238973536,4.4216417910447765,0.5028761797541171,0.9344583987441131,0.5145211930926217,0.4631083202511774,520554
195.0,199,78.323046,0.020100502512562814,0.015793251974156496,0.03362690152121697,4.5,0.4972535823785064,0.914327378782355,0.5337222019686475,0.46190302588406856,533387
196.0,199,83.905643,0.01507537688442211,0.01574539363484087,0.01904761904761905,4.66044776119403,0.48552142110564456,0.9026879891119428,0.5396393331064988,0.4566178972439605,549736
188.0,199,89.599144,0.05527638190954774,0.01821608040201005,0.07523510971786834,4.705223880597015,0.4787139448225241,0.89702590342181,0.53054045410937,0.461784457946914,547481
190.0,199,95.295444,0.04522613065326633,0.019804906887378067,0.0594679186228482,4.526119402985074,0.4966819953064801,0.895990352728369,0.5218570997889659,0.45070847151040094,550064
195.0,199,100.879476,0.020100502512562814,0.019821328866554997,0.04006677796327212,4.544776119402985,0.4890324296744624,0.8821184510250569,0.5150911161731208,0.4533029612756264,546415
192.0,199,106.500989,0.035175879396984924,0.020629463104998677,0.04962406015037594,4.470149253731344,0.49799597691566133,0.8739200863930886,0.5229481641468683,0.44897408207343414,539748
196.0,199,112.047416,0.01507537688442211,0.02035175879396985,0.024834437086092714,4.395522388059701,0.506037451305577,0.8687179487179487,0.5194871794871795,0.45282051282051283,527587
185.0,199,117.69544,0.07035175879396985,0.02273271117492223,0.1007081038552321,4.406716417910448,0.498646873062179,0.8658506731946144,0.5177478580171359,0.44944920440636477,549564
190.0,199,123.384793,0.04522613065326633,0.02375513933302878,0.05480540111199365,4.5783582089552235,0.4900771713773025,0.8577777777777778,0.5202339181286549,0.45169590643274854,535322
180.0,199,129.143056,0.09547738693467336,0.026873497924404632,0.1342443729903537,4.537313432835821,0.49918287919997373,0.8632996632996633,0.5153759820426487,0.4471380471380471,535077
182.0,199,134.90366,0.08542713567839195,0.02931323283082077,0.110055423594616,4.611940298507463,0.48881188392477015,0.8652145783912012,0.5184386456760837,0.4464093163683416,541193
196.0,199,140.534057,0.01507537688442211,0.028743718592964825,0.018982536066818528,4.5,0.4946933630667551,0.8624043037450859,0.5189323401613904,0.45313469894475483,553775
193.0,199,146.139383,0.03015075376884422,0.028797835330498647,0.04838709677419355,4.470149253731344,0.49767157294675085,0.852566653402308,0.520891364902507,0.44508555511341025,548267
196.0,199,151.802591,0.01507537688442211,0.02828959612879211,0.013343799058084773,4.496268656716418,0.49231649677842604,0.8515894293374187,0.5302566066641133,0.44274224435082343,557254
198.0,199,157.461324,0.005025125628140704,0.027458722182340273,0.00870253164556962,4.4440298507462686,0.49853209551684385,0.8501845018450185,0.5287822878228783,0.44686346863468634,537933
187.0,199,163.224751,0.06030150753768844,0.028591232022179863,0.07853403141361257,4.458955223880597,0.4985781641256663,0.8514357053682896,0.5243445692883895,0.4460495808810416,547392
195.0,199,168.824235,0.020100502512562814,0.02830820770519263,0.030087094220110848,4.567164179104478,0.48727388011922906,0.848155808341951,0.532574974146846,0.4434677697345743,553796
186.0,199,174.549386,0.06532663316582915,0.029502350461987355,0.08425720620842572,4.541044776119403,0.4892261438107954,0.8496993987975952,0.5335671342685371,0.44605878423513695,569773
189.0,199,180.25005,0.05025125628140704,0.03015075376884422,0.07242136064374542,4.67910447761194,0.47900068959316144,0.8479844584749878,0.536506394689979,0.4552371701473207,581182
194.0,199,185.877494,0.02512562814070352,0.02999847723465814,0.034635224760501106,4.615671641791045,0.48777590537739596,0.8491602574164181,0.533040339036258,0.4575419871291791,568557
195.0,199,191.570153,0.020100502512562814,0.0297073603310671,0.02952029520295203,4.604477611940299,0.49195868895715417,0.84876637222053,0.5318306427048431,0.46009747182455074,553115
194.0,199,197.202929,0.02512562814070352,0.029576453697056714,0.03706754530477759,4.604477611940299,0.49101622766475095,0.8457100591715976,0.5300295857988165,0.460207100591716,551475
196.0,199,202.829716,0.01507537688442211,0.029173646007816863,0.02642113690952762,4.626865671641791,0.48918393183127296,0.8369752731454859,0.531196089706728,0.46520989074180563,561075
187.0,199,208.612022,0.06030150753768844,0.030014939562678256,0.08499234303215926,4.526119402985074,0.4964350743642517,0.8352232955340894,0.5319893602127957,0.4619907601847963,575283
185.0,199,214.334124,0.07035175879396985,0.031076434805606984,0.0676126878130217,4.4888059701492535,0.503036665873415,0.8313318777292577,0.5346615720524017,0.4557860262008734,564754
192.0,199,219.957238,0.035175879396984924,0.03118154876948847,0.06186374314800313,4.563432835820896,0.494267570364319,0.8275265957446809,0.533377659574468,0.4660904255319149,562121
195.0,199,225.673542,0.020100502512562814,0.030904522613065328,0.028616852146263912,4.597014925373134,0.49419618721454933,0.8237200259235256,0.5336357744653273,0.47388204795852235,544711
195.0,199,231.385708,0.020100502512562814,0.030641009927687216,0.030349013657056147,4.641791044776119,0.4797349779485019,0.8242730720606827,0.5314791403286978,0.4768647281921618,565409
197.0,199,236.954917,0.010050251256281407,0.03015075376884422,0.01182033096926714,4.552238805970149,0.4893467381299726,0.819538670284939,0.5322560749969163,0.479092142592821,543080
186.0,199,242.690574,0.06532663316582915,0.030968797475750848,0.09433962264150944,4.682835820895522,0.47341982240505,0.8188833956348728,0.532135535994212,0.4819727481008079,567416
188.0,199,248.37709,0.05527638190954774,0.031521242576518956,0.07307386814932486,4.634328358208955,0.4829880725989596,0.8177101756868294,0.5301261643674096,0.47871713241363045,550203
186.0,199,254.110369,0.06532663316582915,0.03227247347850363,0.061128526645768025,4.641791044776119,0.4846834822561999,0.8166608976577824,0.5376716280143071,0.47732779508480444,576983
192.0,199,259.862167,0.035175879396984924,0.032335590998470616,0.04496951219512195,4.518656716417911,0.4925033992020643,0.8152161643526358,0.5446438649960492,0.47319110509086804,583811
194.0,199,265.494882,0.02512562814070352,0.03218218753341174,0.03419452887537994,4.522388059701493,0.49529040031810384,0.8121064840384403,0.5456754666961229,0.47807356677344526,576090
189.0,199,271.159387,0.05025125628140704,0.03255862646566164,0.07250755287009064,4.522388059701493,0.5025292349130843,0.8108634494698117,0.5443626920579961,0.47673663709153863,569550
187.0,199,276.818883,0.06030150753768844,0.03312480771202954,0.09951060358890701,4.559701492537314,0.49648054717384527,0.8085693074557218,0.545126736663485,0.47459963941032984,578393
191.0,199,282.585552,0.04020100502512563,0.03326633165829146,0.0598159509202454,4.477611940298507,0.5001536303744107,0.8106029106029106,0.5454261954261954,0.4728690228690229,590229
185.0,199,288.295244,0.07035175879396985,0.03399349689624594,0.09702660406885759,4.451492537313433,0.5032474076342165,0.8090770015298318,0.5440081591024988,0.46884242733299336,562390
191.0,199,293.984383,0.04020100502512563,0.03411287205257055,0.040656763096168884,4.455223880597015,0.4983906469958558,0.8071228491396558,0.5455182072829131,0.46758703481392555,570999
