#{"t_start": 1712068874.1876838, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle
204.0,204,31.838916,0.0,0.0,0.0,1.3955223880597014,0.8773076646164408,0.7268292682926829,0.0,0.0,1029.4645161290323,0,0
204.0,204,56.0477,0.0,0.0,0.0,1.7537313432835822,0.821377822955565,0.6161369193154034,0.004889975550122249,0.0,1021.125,0,0
204.0,204,76.553288,0.0,0.0,0.0,1.8843283582089552,0.79434047168171,0.49755301794453505,0.04567699836867863,0.0,932.4741379310345,0,0
204.0,204,94.873421,0.0,0.0,0.0,2.0858208955223883,0.7661606249646163,0.3953488372093023,0.06731946144430845,0.0,962.8636363636364,0,0
204.0,204,111.958124,0.0,0.0,0.0,2.138059701492537,0.7535680902880459,0.3281096963761019,0.07541625857002938,0.0,980.877358490566,0,0
204.0,204,129.279789,0.0,0.0,0.0,2.462686567164179,0.7151826453495059,0.28408163265306124,0.10775510204081633,0.0,1064.6052631578948,0,0
204.0,204,144.360457,0.0,0.0,0.0,2.466417910447761,0.7050026439357262,0.25122463261021694,0.10706787963610917,0.0,994.7777777777778,0,0
204.0,204,158.425053,0.0,0.0,0.0,2.746268656716418,0.6747630561121077,0.22167789344764238,0.10532761788120025,0.007348438456827924,1022.9207920792079,0,0
204.0,204,172.66851,0.0,0.0,0.0,2.6828358208955225,0.6747168234333615,0.2025040827436037,0.08927599346761024,0.011976047904191617,968.1428571428571,0,0
204.0,204,185.749756,0.0,0.0,0.0,2.9738805970149254,0.6398915037031926,0.18471337579617833,0.08280254777070063,0.01910828025477707,1116.7156862745098,0,0
204.0,204,199.037401,0.0,0.0,0.0,3.078358208955224,0.6226289020330278,0.17683741648106904,0.07884187082405346,0.027616926503340758,1026.5172413793102,0,0
204.0,204,211.138395,0.0,0.0,0.0,3.1902985074626864,0.615122676173711,0.16088199265006126,0.07145773785218457,0.03511637403021641,1006.4774774774775,0,0
204.0,204,222.765404,0.0,0.0,0.0,3.25,0.6014212652545561,0.15001884658876743,0.0712401055408971,0.04070863173765549,1062.1682242990655,0,0
204.0,204,234.12048,0.0,0.0,0.0,3.298507462686567,0.597442237271558,0.143857192859643,0.06615330766538327,0.038501925096254816,914.2924528301887,0,0
204.0,204,244.696906,0.0,0.0,0.0,3.6156716417910446,0.5602012364443782,0.1349232277033649,0.060111074812152894,0.047696831100947405,1106.698113207547,0,0
204.0,204,254.96563,0.0,0.0,0.0,3.458955223880597,0.5703890012839918,0.12496171516079632,0.05819295558958652,0.04716692189892802,961.377358490566,0,0
204.0,204,265.001555,0.0,0.0,0.0,3.5634328358208953,0.5589998473382958,0.1219371576823292,0.057653502450273855,0.04987027961948688,929.242718446602,0,0
204.0,204,275.40564,0.0,0.0,0.0,3.4328358208955225,0.5730813370715185,0.11870405662945821,0.05336237408113259,0.04791723386877212,1028.9646017699115,0,0
204.0,204,285.829109,0.0,0.0,0.0,3.544776119402985,0.5554279636111057,0.11348981171008511,0.048749032757286564,0.04926489553778695,1047.9174311926606,0,0
204.0,204,296.306894,0.0,0.0,0.0,3.6007462686567164,0.5552277413334666,0.11026709139916688,0.049252634158294534,0.05243812790982602,1010.1727272727272,0,0
204.0,204,305.743343,0.0,0.0,0.0,3.824626865671642,0.5412480836911631,0.0984830805134189,0.046674445740956826,0.052975495915986,1052.6019417475727,0,0
204.0,204,315.738286,0.0,0.0,0.0,3.7723880597014925,0.5489063801895976,0.09222543996435732,0.044998886166184006,0.04544441969258187,1019.2252252252252,0,0
204.0,204,325.198583,0.0,0.0,0.0,3.996268656716418,0.5257907370101244,0.08587257617728532,0.042190496484125296,0.04879607926699339,1152.298245614035,0,0
202.0,204,334.320831,0.00980392156862745,0.0004084967320261438,0.01078582434514638,3.9328358208955225,0.5279259068766469,0.08335035750766087,0.04330949948927477,0.04862104187946885,1117.7222222222222,0,0
204.0,204,343.505346,0.0,0.000392156862745098,0.0,3.966417910447761,0.5288059307678347,0.07981957246518925,0.04079231221808198,0.05295155912924103,965.0,0,0
204.0,204,352.832669,0.0,0.0003770739064856712,0.0,3.8507462686567164,0.5417101696744886,0.07731472751272865,0.04016594380539317,0.05317744672826702,891.8971962616822,0,0
204.0,204,362.235515,0.0,0.00036310820624546115,0.0,3.9365671641791047,0.5456820242685099,0.07245324132921736,0.03631741420010895,0.04575994189213728,972.2456140350877,0,0
204.0,204,371.999744,0.0,0.00035014005602240897,0.0,3.746268656716418,0.5625145499532643,0.07231658203466994,0.03414463316406934,0.04710208369812642,963.7102803738318,0,0
202.0,204,381.237196,0.00980392156862745,0.000676132521974307,0.013422818791946308,4.014925373134329,0.5181196163208968,0.06984610180957213,0.034838491459496024,0.04904447826822256,1061.1896551724137,0,0
199.0,204,390.093192,0.024509803921568627,0.0014705882352941176,0.03111111111111111,4.029850746268656,0.515840807793842,0.06724476439790576,0.03337696335078534,0.049738219895287955,1123.3272727272727,0,0
194.0,204,398.771893,0.049019607843137254,0.003004427577482606,0.06868537666174299,4.08955223880597,0.5122897719324909,0.06343165239454487,0.03361877576910879,0.047256581033935936,1007.9528301886793,0,0
204.0,204,408.123776,0.0,0.0029105392156862746,0.0,3.9141791044776117,0.5281030272889383,0.0629800307219662,0.0314900153609831,0.047619047619047616,956.6333333333333,0,0
204.0,204,417.867674,0.0,0.002822341057635175,0.0,3.764925373134328,0.5414860681761451,0.062257968424188265,0.031575811736669644,0.048406315162347335,996.9416666666667,0,0
204.0,204,427.492339,0.0,0.0027393310265282586,0.0,3.6417910447761193,0.5590363620494044,0.0585429314830876,0.02992194275802255,0.045822492049725355,1029.960396039604,0,0
204.0,204,437.702368,0.0,0.002661064425770308,0.0,3.638059701492537,0.556574049175569,0.058691378826172425,0.02695871946082561,0.04436955911260882,892.0471698113207,0,0
204.0,204,448.133198,0.0,0.0025871459694989107,0.0,3.537313432835821,0.5558282988099067,0.05814905814905815,0.02921102921102921,0.04504504504504504,967.816513761468,0,0
204.0,204,458.397108,0.0,0.0025172231054583997,0.0,3.611940298507463,0.5562461347145016,0.058698539176626825,0.027622841965471448,0.04329349269588313,972.5727272727273,0,0
204.0,204,468.503773,0.0,0.0024509803921568627,0.0,3.58955223880597,0.5624894880925143,0.056374450478407036,0.026635634859063874,0.043573829842254976,1011.1809523809524,0,0
204.0,204,478.541862,0.0,0.0023881347410759177,0.0,3.5970149253731343,0.5664659348723929,0.05341395817586294,0.025195263290501386,0.04195011337868481,989.1333333333333,0,0
204.0,204,489.401435,0.0,0.0023284313725490196,0.0,3.5186567164179103,0.5656283857829196,0.05330385654630312,0.02603782854335544,0.042127241464013754,913.2695652173913,0,0
204.0,204,499.808183,0.0,0.002271640363462458,0.0,3.548507462686567,0.5674764544935188,0.049724418883297386,0.025281572010543974,0.04121734962856458,975.5333333333333,0,0
204.0,204,509.815962,0.0,0.0022175536881419234,0.0,3.8992537313432836,0.5275582737666477,0.04923976608187135,0.024678362573099414,0.03777777777777778,1048.593220338983,0,0
204.0,204,518.352969,0.0,0.002165982672138623,0.0,3.9888059701492535,0.5266250678743967,0.04763536668951337,0.022503998172264107,0.03883938770847613,990.5288461538462,0,0
202.0,204,527.046938,0.00980392156862745,0.002339572192513369,0.01228878648233487,4.0783582089552235,0.512679293530623,0.04689593568557392,0.0233363108530594,0.03472532380527021,1173.938596491228,0,0
204.0,204,536.003528,0.0,0.0022875816993464053,0.0,3.8097014925373136,0.5309677185976722,0.045414847161572056,0.02314410480349345,0.036135371179039304,1072.873873873874,0,0
204.0,204,545.033248,0.0,0.002237851662404092,0.0,3.91044776119403,0.5158644225510426,0.045493378897906875,0.022960273387441263,0.03812473302007689,1067.5272727272727,0,0
204.0,204,553.88921,0.0,0.002190237797246558,0.0,3.9029850746268657,0.5191303672466409,0.04462792642140468,0.023306856187290968,0.039297658862876256,945.801724137931,0,0
202.0,204,562.211119,0.00980392156862745,0.0023488562091503267,0.015127388535031847,4.067164179104478,0.5133006003711236,0.04206755373592631,0.021084953940634595,0.03899692937563971,1054.6734693877552,0,0
200.0,204,570.980163,0.0196078431372549,0.0027010804321728693,0.02404207362885049,3.925373134328358,0.5189273693121874,0.04292878635907723,0.02136409227683049,0.03941825476429288,1076.764705882353,0,0
203.0,204,579.893198,0.004901960784313725,0.0027450980392156863,0.005947955390334572,3.9291044776119404,0.5248337004030453,0.041482355254104,0.021232674727219108,0.037452079032733704,946.2389380530974,0,0
204.0,204,589.373884,0.0,0.002691272587466359,0.0,3.6902985074626864,0.5411763132305638,0.04114869422761877,0.022068035077575408,0.03777585043846969,975.7368421052631,0,0
204.0,204,599.000141,0.0,0.0026395173453996985,0.0,3.7276119402985075,0.5404688361336678,0.039693790757017296,0.02192609394197146,0.03780361024477838,1019.0,0,0
204.0,204,609.123899,0.0,0.002589715131335553,0.0,3.705223880597015,0.5486531132650624,0.03903569772832638,0.02049142327306444,0.03486323597589244,962.0258620689655,0,0
204.0,204,618.935096,0.0,0.002541757443718228,0.0,3.8134328358208953,0.5372303503450719,0.03903903903903904,0.019656019656019656,0.03521703521703522,1038.2252252252251,0,0
204.0,204,627.918108,0.0,0.0024955436720142605,0.0,3.9141791044776117,0.5211568021271279,0.037434110604842315,0.01876172607879925,0.03609398731349951,1029.1782178217823,0,0
204.0,204,637.166128,0.0,0.0024509803921568627,0.0,3.843283582089552,0.5299170241337293,0.03746599982451523,0.018425901553040275,0.030797578310081602,1097.4065040650407,0,0
204.0,204,646.231368,0.0,0.002407980736154111,0.0,3.7425373134328357,0.544851419996287,0.03758296698560469,0.01715369364709939,0.028876820963710026,979.1730769230769,0,0
204.0,204,655.908674,0.0,0.0023664638269100743,0.0,3.8544776119402986,0.5364502733826362,0.036848792884371026,0.017704362558238033,0.02719186785260483,1022.569105691057,0,0
204.0,204,665.34581,0.0,0.002326354270521768,0.0,4.0111940298507465,0.5197932070326565,0.035973020234823884,0.017153801315679906,0.027146306936464318,1051.6776859504132,0,0
