#{"t_start": 1712745301.7895827, "env_id": "PhyRMSA-v0"}
r,l,t,episode_service_blocking_rate,service_blocking_rate,episode_bit_rate_blocking_rate,number_cuts_total,rss_total_metric,C_BVTs,L_BVTs,S_BVTs,total_path_length,num_moves,num_defrag_cycle,avrage_gsnr,average_mod_level,average_path_index
206.0,206,24.239446,0.0,0.0,0.0,1.5186567164179106,0.8675127089791936,0.7342995169082126,0.0,0.0,1063.8216560509554,0,0,20.27751867141023,5.762195121951219,2.267515923566879
206.0,206,41.85061,0.0,0.0,0.0,1.9029850746268657,0.8127920765298915,0.6053268765133172,0.031476997578692496,0.0,1003.8091603053435,0,0,19.890717422048247,5.614285714285714,1.9312977099236641
206.0,206,56.00818,0.0,0.0,0.0,2.0559701492537314,0.7785585050014637,0.4668820678513732,0.09369951534733441,0.0,931.4473684210526,0,0,19.69141676605024,5.519685039370079,1.7894736842105263
206.0,206,68.561141,0.0,0.0,0.0,2.3059701492537314,0.747359411066015,0.36848484848484847,0.11515151515151516,0.0,1011.3148148148148,0,0,19.226835211663623,5.346774193548387,1.9259259259259258
206.0,206,80.61141,0.0,0.0,0.0,2.1977611940298507,0.7519823752903592,0.30940834141610085,0.11154219204655674,0.0,933.0555555555555,0,0,19.833196880752983,5.52991452991453,1.712962962962963
206.0,206,91.915066,0.0,0.0,0.0,2.5597014925373136,0.7037237883097754,0.2667744543249798,0.13985448666127728,0.0,1126.1711711711712,0,0,18.29845003704032,5.181818181818182,2.045045045045045
206.0,206,102.509515,0.0,0.0,0.0,2.667910447761194,0.685927435194747,0.23423423423423423,0.13721413721413722,0.006237006237006237,981.6869565217391,0,0,18.95480737534355,5.297709923664122,1.826086956521739
206.0,206,111.539847,0.0,0.0,0.0,2.962686567164179,0.6529999198752943,0.20739842328684052,0.12431776834445118,0.023650697392359005,1049.3365384615386,0,0,17.605133189514774,4.906976744186046,2.1153846153846154
206.0,206,120.884187,0.0,0.0,0.0,2.9365671641791047,0.652510026372946,0.19514824797843666,0.11320754716981132,0.028032345013477088,1006.1785714285714,0,0,19.06365790842617,5.32520325203252,1.8482142857142858
206.0,206,128.779095,0.0,0.0,0.0,3.235074626865672,0.6144941983421698,0.17467248908296942,0.10625909752547306,0.044153323629306164,1121.7184466019417,0,0,16.962088201956742,4.671875,2.2233009708737863
206.0,206,136.707931,0.0,0.0,0.0,3.3134328358208953,0.6014533799209277,0.16453462726069695,0.0992501102779003,0.049845610939567714,993.9469026548672,0,0,18.420421679371465,5.061538461538461,1.9734513274336283
206.0,206,143.747128,0.0,0.0,0.0,3.283582089552239,0.6080012284588141,0.15325515568135867,0.09017387788111605,0.05297209866558836,1036.3,0,0,18.478701707159992,5.174603174603175,1.7636363636363637
206.0,206,150.871837,0.0,0.0,0.0,3.41044776119403,0.58750435124136,0.14184397163120568,0.09070548712206047,0.05823068309070549,1018.290909090909,0,0,17.50707737399273,4.753731343283582,1.8545454545454545
206.0,206,157.82306,0.0,0.0,0.0,3.5634328358208953,0.5717020425727222,0.1341421143847487,0.0856152512998267,0.06793760831889081,1000.4152542372881,0,0,17.212334256334437,4.698630136986301,1.9406779661016949
206.0,206,163.740557,0.0,0.0,0.0,3.716417910447761,0.5500572138114546,0.12423164024587512,0.08152701391135554,0.06858621805241022,1051.4770642201836,0,0,17.347915510962817,4.735294117647059,1.944954128440367
206.0,206,169.077945,0.0,0.0,0.0,3.794776119402985,0.538255764465105,0.1164695177434031,0.07825295723384895,0.06915377616014559,1016.8217821782179,0,0,18.053562455917106,4.950413223140496,1.9405940594059405
206.0,206,174.100181,0.0,0.0,0.0,3.9888059701492535,0.5181483684606523,0.10933485583785327,0.0765058521267485,0.07622038252926064,983.7339449541284,0,0,16.972782320171113,4.654929577464789,1.9357798165137614
203.0,206,179.122684,0.014563106796116505,0.0008090614886731392,0.021671826625386997,3.91044776119403,0.5259854264118244,0.10739341608202914,0.07069616837560712,0.06988667026443605,979.2792792792793,0,0,18.11070756981371,4.975609756097561,1.882882882882883
203.0,206,184.332249,0.014563106796116505,0.0015329586101175269,0.019490254872563718,3.794776119402985,0.541283541032444,0.10232796111537477,0.06881555385008954,0.06702481453057048,1036.0642201834862,0,0,18.177271375165027,5.00763358778626,2.0275229357798166
206.0,206,189.795464,0.0,0.0014563106796116505,0.0,3.764925373134328,0.5422958876383132,0.09987849331713244,0.06221142162818955,0.0646415552855407,1032.8761061946902,0,0,17.95674376838635,5.021897810218978,1.9292035398230087
200.0,206,194.99007,0.02912621359223301,0.0027739251040221915,0.04027355623100304,3.917910447761194,0.5215881076947748,0.0947856315179606,0.0611819235225956,0.06303592120509849,1034.4137931034484,0,0,17.52864896052347,4.867647058823529,1.9396551724137931
203.0,206,199.837575,0.014563106796116505,0.0033097969991173876,0.023015873015873017,3.906716417910448,0.5279880628417374,0.08698539176626827,0.05732625055334219,0.05843293492695883,1054.673076923077,0,0,18.23299774487569,5.026086956521739,1.9423076923076923
206.0,206,204.894842,0.0,0.0031658927817644574,0.0,4.07089552238806,0.5148117099038871,0.0821337849280271,0.051862828111769683,0.05948348856900931,1201.4070796460178,0,0,16.84435810816731,4.726618705035971,2.1946902654867255
206.0,206,209.874478,0.0,0.003033980582524272,0.0,4.041044776119403,0.5153381921380783,0.07829614604462475,0.05233265720081136,0.061866125760649086,1061.1121495327102,0,0,17.22589221080909,4.755725190839694,2.0654205607476634
201.0,206,214.909485,0.024271844660194174,0.003883495145631068,0.03781818181818182,3.8992537313432836,0.5224696361785247,0.07795751315533035,0.05184174624829468,0.06158643539271097,972.7826086956521,0,0,18.231527134378087,5.015267175572519,1.9652173913043478
203.0,206,219.915692,0.014563106796116505,0.004294249439880508,0.02265625,3.9029850746268657,0.5252576091907364,0.072928383952006,0.048931383577052866,0.06074240719910011,910.7345132743363,0,0,17.571330789392675,4.795454545454546,1.8672566371681416
202.0,206,224.917139,0.019417475728155338,0.0048543689320388345,0.030007501875468866,3.888059701492537,0.5271411148254435,0.07044797687861272,0.04822976878612717,0.05870664739884393,1058.2566371681417,0,0,18.04745919338131,5.029629629629629,2.017699115044248
201.0,206,229.941422,0.024271844660194174,0.005547850208044383,0.03555878084179971,3.962686567164179,0.5192876084114505,0.0665853233397246,0.046714310615304164,0.0554296670733833,929.3303571428571,0,0,17.85035557433674,4.9185185185185185,1.7946428571428572
201.0,206,234.580599,0.024271844660194174,0.006193505189152996,0.03492786636294609,3.8917910447761193,0.522821170690862,0.06567867969013136,0.04513304142809026,0.05591108117211182,1046.0776699029127,0,0,17.498402011674102,4.769230769230769,1.9029126213592233
196.0,206,239.408071,0.04854368932038835,0.007605177993527508,0.06281227694503926,3.8507462686567164,0.5245733973073434,0.06439517443756114,0.043201825888490385,0.05526573198565373,1008.1217391304348,0,0,17.64164955328719,4.86231884057971,1.9217391304347826
192.0,206,244.374623,0.06796116504854369,0.009552145317882869,0.09568345323741007,3.9291044776119404,0.5148541165436148,0.06180840973759089,0.042839076825798295,0.0576983876067025,980.7017543859649,0,0,17.206720907256447,4.694444444444445,1.9912280701754386
198.0,206,249.126717,0.038834951456310676,0.010467233009708738,0.05197505197505198,3.958955223880597,0.516704277132043,0.05993255671367259,0.041385652973635806,0.05441446965052115,985.1946902654868,0,0,18.37821906423391,5.0,1.7699115044247788
203.0,206,254.203562,0.014563106796116505,0.01059135039717564,0.023668639053254437,3.9402985074626864,0.527891358685773,0.056637431247212724,0.04162330905306972,0.051583172290768545,975.9396551724138,0,0,18.28256371480003,5.074074074074074,1.7241379310344827
206.0,206,259.032143,0.0,0.010279840091376356,0.0,3.925373134328358,0.5319813978659838,0.055964229049473534,0.0375018029712967,0.05062743401125054,1037.7714285714285,0,0,17.363124963950668,4.7795275590551185,1.8
206.0,206,264.337287,0.0,0.009986130374479889,0.0,3.958955223880597,0.5304093777946247,0.05462949992996218,0.03613951533828267,0.04762571788765933,1000.574074074074,0,0,18.533696887809267,5.169354838709677,1.9722222222222223
203.0,206,269.597718,0.014563106796116505,0.010113268608414239,0.018018018018018018,3.955223880597015,0.524475710279717,0.05516208117679106,0.037047126123672024,0.046717515663307,942.8468468468468,0,0,17.6427359567393,4.842105263157895,1.972972972972973
206.0,206,274.627043,0.0,0.009839937024403044,0.0,4.0111940298507465,0.5148161089921542,0.05418653948065713,0.03656597774244833,0.04517753047164812,974.1465517241379,0,0,17.120904845708683,4.711267605633803,2.1120689655172415
202.0,206,279.310086,0.019417475728155338,0.01009197751660705,0.03203125,3.970149253731343,0.5205672432648877,0.05341935483870968,0.03574193548387097,0.04529032258064516,1008.69,0,0,17.667833135754673,4.809917355371901,1.9
206.0,206,284.590125,0.0,0.009833208862335076,0.0,3.8470149253731343,0.5322983576013011,0.05077928607340372,0.03519356460532931,0.04474610356963298,999.2222222222222,0,0,17.763191631805622,4.888888888888889,1.8547008547008548
206.0,206,289.696813,0.0,0.0095873786407767,0.0,3.7388059701492535,0.535408283008633,0.050110267091399166,0.03430531732418525,0.046679735358980644,925.5267857142857,0,0,17.658439629012797,4.8768115942028984,1.9375
203.0,206,294.899104,0.014563106796116505,0.009708737864077669,0.01885369532428356,3.8955223880597014,0.5232945141745964,0.04722056186491333,0.031918708906156605,0.045905558876270174,974.3454545454546,0,0,17.74135401948417,4.883720930232558,1.981818181818182
202.0,206,299.790735,0.019417475728155338,0.009939898289412852,0.02852962692026335,3.906716417910448,0.5164186531260773,0.0468075172172289,0.03221664526672114,0.042722073071086726,1087.5702479338843,0,0,17.372660757631007,4.859154929577465,2.0330578512396693
205.0,206,305.050691,0.0048543689320388345,0.00982163016482276,0.008888888888888889,3.8507462686567164,0.5222091701617558,0.04616963064295486,0.029981760145918832,0.0422936616507068,1156.669642857143,0,0,17.88518948153628,5.015037593984962,2.0267857142857144
206.0,206,309.824532,0.0,0.009598411297440424,0.0,4.037313432835821,0.5105972463730539,0.04466473602138561,0.02806861216306527,0.04009801737580753,1181.9333333333334,0,0,17.146498451893997,4.689922480620155,2.085714285714286
205.0,206,315.099437,0.0048543689320388345,0.009492988133764833,0.008088235294117648,3.8917910447761193,0.5196412603075818,0.043123162365240116,0.028530981160840685,0.04007404987476859,1024.8660714285713,0,0,17.65739433034419,4.835714285714285,1.9285714285714286
198.0,206,319.967169,0.038834951456310676,0.010130856901646263,0.05672727272727273,3.958955223880597,0.5175581806445411,0.042532779021426284,0.028355186014284193,0.04018761326084639,1041.6944444444443,0,0,17.367084470446112,4.8,2.0833333333333335
205.0,206,324.969286,0.0048543689320388345,0.010018591200165254,0.00792393026941363,3.8805970149253732,0.5305723191246806,0.042040475693720006,0.027748800333820156,0.03536407260588358,965.2758620689655,0,0,17.658333358599272,4.826086956521739,1.8362068965517242
201.0,206,329.854624,0.024271844660194174,0.010315533980582525,0.04200442151805453,3.970149253731343,0.5253940191606394,0.040564013487279046,0.026565852661694082,0.03136814141207724,1119.388888888889,0,0,17.742018879088945,4.9140625,1.9814814814814814
196.0,206,334.676197,0.04854368932038835,0.011095700416088766,0.07424242424242425,3.8059701492537314,0.5395236677462989,0.04066913753380747,0.026545126715416208,0.032755684663928676,994.9902912621359,0,0,17.679689969738302,4.925619834710743,1.9029126213592233
197.0,206,339.396719,0.043689320388349516,0.01174757281553398,0.04649446494464945,3.8171641791044775,0.5306691480314669,0.04007858546168959,0.027701375245579567,0.03388998035363458,977.5384615384615,0,0,17.918357079066716,4.926829268292683,1.8846153846153846
205.0,206,344.457635,0.0048543689320388345,0.01161241195507329,0.007564296520423601,3.8022388059701493,0.5272550575087914,0.0391911410688493,0.02782859894077997,0.03379874819451131,977.8512396694215,0,0,17.498644297871394,4.805555555555555,1.9669421487603307
204.0,206,349.376846,0.009708737864077669,0.01157580283793876,0.014749262536873156,3.8171641791044775,0.5265996592317074,0.038530550571347626,0.02748134856927,0.03494192086127113,1034.7079646017698,0,0,17.2530963195691,4.735714285714286,1.9115044247787611
